GDP per capita, current prices (Purchasing power parity, international dollars per capita);1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Saint Kitts and Nevis;3257,119;3680,938;4168,317;4264,554;4872,908;5386,419;6026,042;6741,614;7758,966;8588,843;9400,425;9895,614;10344,836;11034,33;11731,279;12242,214;13054,82;14099,181;14250,741;14856,602;16823,316;17769,699;17995,893;17307,543;18197,493;20129,629;21136,679;21529,537;23091,358;22240,093;22594,656;23550,647;22693,405;24295,731;26249,254;26672,976;27168,856;27648,537;29322,838
Saint Lucia;2232,813;2534,307;2712,406;2895,137;3194,896;3653,673;4200,076;4410,17;5124,488;5703,175;6433,425;6584,468;7155,534;7317,73;7443,729;7583,299;7819,634;7761,871;8217,154;8460,895;8527,09;8315,631;8416,603;8855,724;9646,163;9791,457;10597,214;10973,626;11596,541;11905,263;12016,417;12653,789;12715,299;12561,458;12824,09;12865,549;13289,359;13768,86;14114,224
Saint Vincent and the Grenadines;1697,126;1913,102;2066,867;2200,112;2382,864;2545,192;2718,015;2784,862;3243,124;3462,793;3736,144;3917,998;4292,674;4553,134;4597,241;5013,869;5161,008;5447,654;5755,972;5963,476;6208,318;6451,386;6923,778;7536,525;8060,227;8524,853;9272,168;9769,978;9895,749;9762,018;9635,96;9851,705;10161,122;10586,339;10798,065;10989,286;11184,722;11465,837;11969,826
Samoa;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;2910,257;2920,429;3122,409;3408,04;3636,582;3873,503;4074,922;4452,223;4654,627;4771,493;5003,241;4702,471;4629,341;4949,659;5025,807;4974,121;5085,932;5184,149;5553,619;5760,498;5899,443
San Marino;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;74571,484;74664,04;66605,987;62914,037;58183,641;54487,881;54335,076;54306,247;55742,081;57408,633;58540,531;60333,678
Saudi Arabia;38781,256;41212,635;33034,613;27444,705;25817,502;22880,33;26010,189;23699,652;26429,188;26024,841;29618,575;33537,381;33562,762;33244,944;33326,405;33280,364;33950,148;34080,166;34611,277;32980,104;34760,723;34252,145;33002,963;36496,84;39486,852;41575,391;42581,86;43070,398;45122,21;43070,455;44269,458;48288,074;50421,275;51275,392;53528,789;54997,785;55206,16;54416,024;55730,184
Senegal;1028,062;1150,956;1281,741;1225,416;1279,251;1323,217;1350,643;1424,461;1422,222;1491,743;1493,315;1539,575;1551,473;1561,737;1549,841;1622,521;1642,753;1681,602;1758,417;1852,275;1907,181;1987,921;1981,302;2097,66;2221,28;2355,75;2421,051;2539,261;2620,727;2621,438;2668,788;2684,326;2791,326;2834,248;2987,527;3118,453;3256,506;3456,087;3671,203
Serbia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;5985,606;6224,064;5567,124;6152,816;6613,048;7198,951;7676,297;8616,167;9816,144;10671,66;11711,405;12668,229;12465,997;12754,622;13387,032;13616,722;14325,922;14429,129;14914,457;15654,01;16362,503;17552,396
Seychelles;4516,21;4694,403;4852,58;5017,627;5390,514;6083,901;6214,805;6401,36;6954,102;7922,604;8788,618;9213,133;10052,791;10814,837;10493,139;10608,013;11709,196;13207,611;13420,783;13599,675;14366,205;14335,297;14467,713;13859,109;13877,832;15527,838;17140,906;19336,08;18863,616;18723,348;19515,072;21553,492;22552,87;23884,389;25036,172;26030,603;27293,396;28810,451;30382,946
Sierra Leone;836,11;910,072;963,313;962,681;1008,592;951,385;950,581;975,965;1009,582;1075,773;1117,62;1056,964;978,105;1007,428;1070,855;985,732;753,651;628,368;623,183;569,925;588,314;684,717;841,495;894,375;936,757;971,172;1009,434;1089,458;1142,488;1160,918;1209,122;1282,278;1471,268;1767,008;1823,348;1433,177;1506,877;1558,854;1616,494
Singapore;9018,53;10426,019;11347,33;12635,325;13975,585;14308,275;14806,291;16559,881;18596,936;20673,45;22655,033;24286,779;25705,623;28598,364;31448,472;33390,07;35086,429;37384,461;35740,279;38026,565;41662,801;41000,369;42886,269;46342,336;51612,833;55809,577;60745,435;65230,201;64230,604;62873,499;71566,003;76034,334;78979,067;82881,26;86576,375;88946,487;91336,926;96414,481;101386,821
Slovak Republic;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;8199,595;8844,542;9686,656;10526,836;11245,357;11808,998;11942,261;12344,876;13082,166;13889,762;14925,626;16142,494;17766,3;19850,289;22583,865;24306,209;23136,2;24549,345;25758,941;26629,42;27467,419;28718,048;30198,33;31436,181;32994,141;35136,455
Slovenia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;11150,934;11793,718;12683,958;13479,064;14214,629;15214,975;15907,327;17054,175;17990,043;18953,613;19889,124;20847,614;22326,508;23882,398;25944,17;28401,26;29971,461;27616,794;28111,911;28900,977;28603,887;28759,575;30069,609;31027,216;32306,565;34477,301;36741,444
Solomon Islands;805,126;836,887;845,354;883,603;888,713;861,573;851,866;919,982;937,87;988,404;1019,083;1085,725;1216,531;1258,903;1351,089;1476,37;1485,418;1456,143;1450,94;1425,215;1215,686;1113,279;1070,536;1131,737;1224,68;1390,282;1454,108;1551,763;1656,025;1554,324;1642,87;1857,746;1937,844;1986,524;2022,3;2050,197;2092,12;2162,671;2251,231
South Africa;4644,845;5222,164;5382,818;5350,503;5681,541;5655,043;5641,621;5777,563;6101,508;6353,598;6423,987;6416,657;6263,12;6331,692;6521,317;6721,325;7007,244;7195,709;7203,578;7369,992;7730,663;7970,053;8278,848;8597,619;9132,864;9800,354;10533,775;11247,309;11664,195;11400,636;11702,556;12150,01;12465,599;12800,969;13078,444;13171,307;13160,102;13396,126;13629,758
South Sudan, Republic of;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;3373,947;1579,944;2012,356;2044,753;2001,513;1635,781;1530,686;1503,755
Spain;7907,393;8539,124;9130,161;9599,478;10074,592;10601,314;11153,641;12053,86;13110,549;14277,935;15355,128;16232,292;16688,302;16806,939;17519,368;18580,5;19334,106;20373,941;21448,826;22673,935;24148,278;25531,197;26258,563;27093,822;28259,598;29668,551;31341,491;32750,304;33211,496;32001,472;32243,637;32467,682;32100,454;32225,558;33373,422;34985,416;36476,429;38264,747;40172,154
Sri Lanka;1068,689;1215,906;1341,706;1423,85;1557,689;1670,187;1759,336;1811,008;1906,339;2005,412;2186,678;2475,265;2424,525;2639,571;2885,251;3098,53;3514,936;3921,23;3880,323;4028,345;4438,237;4416,394;4617,744;4942,442;5308,427;5770,151;6353,266;6917,899;7421,485;7692,855;8355,038;9193,36;10171,451;10618,177;11249,53;11824,84;12343,781;12860,158;13443,436
Sudan;1111,205;1255,569;1348,905;1342,595;1254,191;1250,764;1364,434;1447,998;1534,757;1577,465;1511,848;1623,591;1701,935;1738,631;1786,093;2056,141;2158,029;2280,378;2445,845;2535,2;2745,963;3033,123;3184,311;3355,075;3530,559;3756,117;4018,074;4252,086;4387,461;4189,63;4290,429;5230,108;4121,854;4145,456;4285,976;4281,879;4322,498;4347,173;4229,275
Suriname;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;6671,095;5857,375;6151,25;6067,937;5695,592;6377,235;7135,764;7653,333;7815,77;7742,611;7813,508;8254,368;8595,191;9204,537;9961,951;10653,966;11477,854;12248,402;12826,617;13134,25;13788,471;14658,366;15293,492;15768,012;15854,237;15240,107;14327,844;14649,897;15110,525
Sweden;10453,734;11954,991;12867,766;13641,794;14719,77;15501,504;16231,032;17109,127;18052,146;19068,37;19792,559;20126,536;20272,206;20363,815;21449,944;22720,938;23492,004;24628,999;25947,844;27435,336;29345,081;30338,924;31384,191;32557,502;34742,133;36713,544;39281,131;41403,764;41772,786;39944,169;42569,287;44467,271;44690,027;45544,71;47160,862;49234,847;50210,365;51742,207;53651,789
Switzerland;17198,705;19033,84;19827,861;20608,963;21952,671;23371,785;24176,58;25019,974;26580,641;28605,222;30485,285;30875,33;31129,868;31528,375;32342,295;32960,218;33537,527;34816,114;36163,445;37145,581;39302,384;40488,558;40875,152;41335,322;43264,937;45706,094;48720,025;51736,779;53259,958;51727,708;53252,93;54772,139;55782,096;57222,931;58988,447;59637,768;60632,899;62231,145;65009,82
Syria;2075,051;2381,478;2510,25;2564,928;2404,721;2573,663;2420,452;2428,937;2741,983;2589,827;2866,401;3185,718;3585,366;3834,047;4023,585;4221,128;4318,621;4243,068;4422,983;4241,734;4323,169;4459,072;4665,36;4522,013;4814,171;5104,52;5390,543;5707,769;5931,986;6177,252;6373,364;no data;no data;no data;no data;no data;no data;no data;no data
S?o Tom? and Pr?ncipe;1360,358;1309,007;1401,992;1368,028;1299,098;1426,736;1334,542;1291,024;1325,607;1380,106;1361,953;1385,178;1385,668;1417,414;1452,016;1484,147;1505,723;1518,703;1545,737;1578,549;1592,532;1638,837;1672,901;1778,932;1854,24;1997,659;2186,46;2253,209;2413,245;2418,945;2537,348;2631,218;2693,583;2799,941;2963,476;3032,977;3116,939;3222,784;3313,074
Taiwan Province of China;3473,664;3999,15;4372,63;4882,351;5485,48;5855,883;6595,013;7533,204;8327,373;9316,624;10088,47;11189,361;12276,24;13298,692;14474,762;15606,712;16742,195;17891,332;18694,871;20088,632;21675,499;21745,969;23202,13;24515,611;26713,587;28933,843;31339,731;34156,732;34946,499;34537,238;38583,444;40777,485;42251,943;43831,658;46318,609;47061,103;48169,387;50520,186;53074,323
Tajikistan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1317,31;1190,874;950,327;839,878;808,255;823,648;859,916;878,518;956,848;1058,682;1151,356;1266,97;1409,847;1519,176;1639,695;1776,546;1912,111;1958,141;2063,115;2211,621;2368,811;2530,888;2689,612;2818,025;2978,747;3182,41;3426,533
Tanzania;606,945;647,352;670,346;691,536;718,69;752,153;793,633;835,94;876,795;917,091;986,433;1006,858;1001,065;1002,706;1007,454;1034,529;1072,573;1102,434;1130,697;1174,652;1229,429;1297,408;1374,416;1455,039;1566,269;1685,8;1767,282;1913,56;2002,729;2066,386;2159,586;2309,852;2402,616;2533,559;2672,73;2782,167;2915,297;3077,893;3273,038
Thailand;1609,731;1812,377;1987,11;2150,683;2307,25;2432,074;2560,498;2825,58;3248,208;3764,562;4280,92;4742,19;5288,746;5819,481;6349,715;6934,372;7379,116;7220,916;6672,777;7001,605;7396,566;7774,161;8334,81;9048,193;9818,796;10489,311;11278,466;12141,193;12517,511;12455,124;13468,872;13805,019;15025,32;15636,321;16024,876;16639,538;17319,458;18304,149;19484,028
Timor-Leste;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1861,277;2050,435;1912,608;1895,621;3140,893;4321,178;6183,759;6542,499;7163,803;6707,433;6632,834;7403,674;7748,545;6841,545;5036,985;5998,113;5964,671;5395,537;4972,603
Togo;786,789;804,805;793,768;753,583;796,683;822,884;838,211;811,071;896,842;942,729;1008,182;1010,685;977,641;818,611;929,97;1107,081;1053,108;1078,581;1033,124;1041,955;1024,233;1026,122;1053,453;1115,403;1104,876;1057,714;1088,995;1075,702;1110,723;1149,698;1201,305;1270,419;1343,271;1412,602;1484,724;1546,149;1608,526;1669,268;1749,715
Tonga;747,495;927,75;1105,22;1202,26;1776,176;1945,149;2170,351;2255,943;2242,538;2344,379;2533,77;2757,442;2699,638;2748,118;2870,152;3051,608;3106,315;3034,834;3154,09;3256,532;3350,367;3517,743;3639,481;3727,586;3857,436;3976,09;3978,25;4046,569;4227,239;4374,136;4515,073;4681,78;4746,634;4787,816;4987,423;5270,322;5640,548;5907,781;6148,481
Trinidad and Tobago;6999,736;7887,336;8552,795;7845,807;7548,61;7369,43;7190,68;6966,521;6874,023;7033,289;7356,458;7790,918;8718,999;8816,552;9281,936;9800,898;10663,833;11642,371;12711,162;13904,891;15158,325;16008,092;17349,978;20027,296;21962,634;23863,421;27938,444;29770,018;31200,652;29780,742;31018,393;31447,28;31670,943;32710,715;32840,879;33633,713;31656,724;31557,703;32283,649
Tunisia;2149,48;2414,74;2490,924;2646,54;2865,901;3024,336;2926,572;3132,913;3191,399;3341,863;3600,94;3791,639;4098,3;4210,418;4370,889;4502,635;4824,179;5117,492;5366,034;5708,356;6026,958;6336,444;6469,838;6847,562;7412,294;7843,189;8426,194;9141,698;9612,462;9871,921;10222,862;10120,677;10603,788;10971,199;11372,732;11494,559;11626,565;11926,868;12384,355
Turkey;3442,6;3844,281;4126,657;4392,279;4756,107;5009,304;5356,43;5924,371;6148,747;6292,511;7009,261;7190,896;7667,571;8344,76;7931,385;8546,425;9172,288;9884,41;10159,27;9815,245;10550,267;10003,794;10685,422;11359,877;12636,002;14028,13;15287,204;16287,611;16526,762;15641,013;16895,68;18908,808;19953,465;21728,478;22966,095;24290,729;24982,883;27017,81;28044,394
Turkmenistan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;2988,643;2725,981;2244,282;2079,399;1938,719;1721,742;1832,712;2139,565;2564,001;3119,625;3630,059;4284,982;4994,366;5759,006;6510,296;7337,827;8480,199;8957,038;9737,297;11212,539;12464,537;13715,89;15133,162;15987,673;16920,187;18138,138;19518,095
Tuvalu;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;2618,319;2551,191;2543,117;2482,285;2597,799;2800,735;3043,165;2894,626;2801,684;3046,547;2947,832;3103,864;3191,474;3505,859;3635,486;3809,162;4053,323
Uganda;417,323;460,393;513,281;542,598;528,198;511,123;508,111;522,153;564,177;601,377;641,075;651,399;683,068;721,45;768,261;829,886;871,821;898,899;935,075;991,884;1019,884;1098,046;1155,612;1206,083;1266,362;1389,748;1481,987;1589,26;1728,286;1820,09;1919,34;2025,656;2045,196;2116,633;2190,863;2272,303;2280,506;2367,719;2497,299
Ukraine;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;6698,609;6164,36;5392,628;4288,287;3878,825;3594,239;3570,33;3575,646;3651,609;3991,364;4328,954;4670,96;5251,518;6072,986;6504,784;7254,965;8108,465;8490,097;7291,73;7710,196;8327,929;8523,039;8694,549;8756,347;8014,483;8329,551;8741,485;9287,334
United Arab Emirates;74532,941;80920,229;74972,71;71378,739;71349,14;68110,163;53756,096;55687,045;47043,443;54450,007;70403,182;71122,274;71880,811;71020,106;72743,551;73213,159;77506,395;81041,701;75198,871;73953,338;86005,188;84185,494;82874,283;86627,686;92036,604;91159,884;84499,227;72193,921;58514,172;55016,228;56103,705;59461,205;61475,208;63800,766;65864,012;67883,73;68664;68337,512;69222,478
United Kingdom;8852,518;9610,554;10421,895;11282,276;11935,77;12796,995;13433,724;14465,059;15806,315;16800,468;17508,69;17841,287;18269,169;19131,636;20249,299;21121,989;22001,352;23281,528;24263,253;25314,157;26681,919;27934,007;28961,318;30345,707;31727,771;33487,503;35139,277;36704,891;36984,748;35433,71;36170,119;37221,673;38230,852;39449,305;41049,316;42116,547;42959,079;44301,434;45740,756
United States;12552,943;13948,701;14404,994;15513,679;17086,441;18199,32;19034,766;20000,968;21375,999;22814,077;23847,977;24302,776;25392,931;26364,192;27674,021;28671,48;29946,973;31440,087;32833,666;34494,539;36317,741;37101,103;37971,28;39411,546;41629,858;44025,56;46213,508;47869,24;48283,413;47007,674;48402,581;49825,501;51556,171;53061,235;55010,066;56787,457;57901,072;59999,508;62868,917
Uruguay;4253,279;4711,762;4506,398;4500,268;4582,415;4766,8;5263,69;5789,243;6045,535;6316,829;6536,606;6956,354;7633,418;7974,098;8655,47;8654,941;9247,59;9769,068;10220,512;9989,734;9991,135;9850,052;9313,73;9731,538;10447,745;11468,809;12279,487;13431,06;14656,249;15326,204;16623,054;17763,024;18668,624;19798;20735,916;20948,418;21441,552;22328,141;23157,966
Uzbekistan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;2149,412;2101,251;1995,267;1982,531;2014,035;2088,783;2170,027;2263,144;2411;2533,692;2644,468;2772,256;3024,316;3296,557;3610,615;4006,378;4384,727;4696,026;5067,239;5385,69;5851,186;6337,754;6805,196;7262,054;7648,123;8001,652;8498,357
Vanuatu;955,039;1054,458;1104,65;1154,307;1270,173;1274,442;1260,809;1236,804;1223,999;1282,646;1466,209;1532,437;1576,548;1594,718;1698,247;1706,903;1733,558;1803,102;1798,087;1784,415;1889,202;1823,358;1716,678;1781,811;1859,965;1974,237;2156,566;2276,699;2415,103;2460,956;2469,946;2494,999;2529,299;2565,354;2612,944;2584,991;2664,13;2770,353;2862,812
Venezuela;7861,698;8242,201;8723,69;7947,54;8427,859;8531,856;9122,176;9556,721;10280,419;8977,072;9595,047;10628,554;11264,48;11303,218;11025,527;11449,826;11391,374;12077,166;12008,843;11230,304;11513,485;11964,88;10898,03;10075,701;12045,897;13489,219;15034,496;16534,597;17479,26;16795,405;16492,576;17285,972;18341,664;18646,908;17998,576;16824,126;14058,784;12263,83;10797,621
Vietnam;436,806;495,516;558,017;609,439;671,599;717,803;741,804;762,259;813,713;893,647;955,554;1026,204;1120,776;1218,746;1332,157;1465,616;1605,947;1739,46;1832,106;1918,289;2066,26;2227,036;2390,797;2576,097;2812,134;3104,955;3384,389;3682,972;3925,225;4124,727;4394,462;4716,975;5004,492;5311,56;5672,365;6048,552;6422,274;6917,877;7513,112
Yemen;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;2153,918;2259,589;2382,326;2416,568;2516,478;2604,484;2673,751;2766,941;2873,965;2933,854;3087,821;3174,782;3248,637;3327,016;3442,765;3633,178;3746,156;3856,173;3952,546;4012,781;4244,872;3672,368;3720,751;3853,057;3802,875;2686,2;2387,935;2244,425;2253,315
Zambia;1360,701;1537,617;1535,767;1529,649;1511,145;1531,84;1542,919;1557,978;1710,829;1661,917;1661,891;1655,937;1678,397;1668,452;1433,627;1467,691;1546,072;1588,906;1557,523;1609,379;1664,904;1746,345;1807,479;1919,62;2055,948;2213,353;2393,401;2588,349;2762,289;2951,539;3196,641;3342,46;3555,579;3686,505;3812,344;3844,442;3908,437;3997,776;4117,823
Zimbabwe;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;2520,741;2535,639;2489,225;2538,787;2386,609;2035,068;1943,785;1840,053;1800,924;1781,964;1510,064;1619,416;1943,276;2243,803;2544,849;2568,178;2610,39;2640,498;2646,265;2782,078;2908,261
