Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;
9. ВАЛОВОЙ РЕГИОНАЛЬНЫЙ ПРОДУКТ;;;;;;;;;;;;;;;;;;
9.2. ВАЛОВОЙ РЕГИОНАЛЬНЫЙ ПРОДУКТ на душу населения ;;;;;;;;;;;;;;;;;;
(рублей);;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Республика Хакасия;31333,2;36306,2;46443,7;53320,2;61336,4;77864,6;100828,4;119953,2;136023,7;152205,1;180352,1;212487,7;245293,7;265860,7;296058,1;317763,6;365436,6;386128,4
Алтайский край;17660,5;23509,0;27991,2;34295,8;44934,9;53812,4;69852,0;90759,9;106019,5;109088,7;124955,8;137677,2;153556,7;173763,5;186798,6;204933,1;211658,1;215768,4
Забайкальский край;25320,1;29979,7;38443,3;46308,5;53845,5;61741,0;81066,2;99544,9;126362,1;133973,5;150548,9;184869,1;204112,1;209780,8;215668,4;228215,0;256337,7;279443,1
Красноярский край;71281,0;80038,8;77729,0;92547,5;125287,8;152389,0;205042,4;258394,3;260318,2;264478,7;372848,1;413172,4;416272,7;441084,9;493985,7;582345,8;608083,3;654513,9
Иркутская область;39115,2;46044,3;54156,9;65468,6;84014,3;102904,3;133413,7;163588,0;178988,3;187688,7;224364,2;261550,4;304545,5;332700,5;379171,6;414986,5;442342,2;495348,6
Кемеровская область;30047,8;38839,7;46860,1;57302,3;85850,4;104764,5;122394,2;157302,2;207286,2;184674,1;226198,1;272564,2;261527,1;243932,3;275513,8;309904,3;318927,5;391624,1
Новосибирская область;26472,3;35177,3;45659,6;57360,1;71843,4;88475,5;111679,3;138199,1;171430,3;160210,4;181732,7;223623,0;269870,4;300522,5;332683,2;370895,7;377812,4;409763,0
Омская область;21643,1;29219,2;44424,1;55729,2;94389,6;108970,6;130614,3;148129,3;174709,8;169327,8;193216,0;228486,6;248940,0;279510,4;304957,6;312450,2;314593,5;331087,6
Томская область;38386,0;54221,6;72107,4;93193,8;128090,8;155365,2;184433,6;209319,9;241911,3;237293,3;272576,5;317037,4;350116,9;377218,0;401259,7;438316,5;445485,9;473792,2
Дальневосточный       федеральный округ;44932,3;57716,4;70194,8;84451,1;103218,5;127161,3;155389,4;200069,1;241573,6;273411,3;334909,9;403572,5;431768,1;454144,1;516739,8;577684,3;599194,9;628171,6
Республика Саха (Якутия);85375,5;105733,3;121163,1;140065,1;161309,0;191896,0;216535,9;253423,5;322922,2;342520,1;403658,5;508674,4;566387,0;597037,4;688540,1;780139,8;897460,4;951220,2
Камчатский край;49108,7;63274,0;71934,1;83980,4;101205,1;129240,8;168173,2;200610,1;238404,5;291953,6;319849,2;356413,4;397725,9;416493,0;457553,1;553863,9;624774,2;639848,2
Приморский край;29139,9;34628,0;46632,5;57986,3;74713,1;92504,2;108099,2;130632,0;160416,7;187556,4;240220,7;281618,3;286057,3;297224,3;331845,1;371595,6;383811,3;405528,0
Хабаровский край;44171,2;54983,9;70162,9;81613,4;94795,1;116257,5;141994,7;170398,0;198951,6;205081,0;262685,8;297609,2;326306,5;371415,6;402759,5;445809,5;470346,9;500442,7
Амурская область;28317,2;42578,3;50449,6;59480,3;72937,0;88597,1;111116,2;131887,8;156329,6;180572,3;214827,2;273175,8;280023,9;258817,0;286282,6;343385,7;337302,1;332533,2
Магаданская область;65704,6;89987,5;121272,5;135180,6;139840,3;157798,9;185017,6;213449,6;258848,1;299403,8;377895,0;464112,9;511125,4;587477,4;649745,4;854561,5;1016642,8;1088347,4
Сахалинская область;61595,8;84769,1;85927,4;116731,0;172004,4;230298,2;321108,8;559774,1;657783,3;779943,2;977256,0;1210003,9;1298440,0;1364874,7;1631919,0;1716734,4;1536359,9;1577910,3
Еврейская автономная область;19484,8;24877,5;35766,0;45196,1;60029,9;77319,2;99578,4;132505,0;134377,5;142388,0;178380,6;225065,5;246301,3;224042,7;247666,9;266405,8;278590,6;322720,4
Чукотский автономный округ;65963,0;123130,9;187368,1;256992,1;238227,2;237134,5;295107,1;396907,1;582270,4;872422,0;767845,6;883368,7;896822,1;877612,8;1142504,1;1226152,0;1354367,7;1386085,3
