Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;;;
18. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;;;;;;;;;;;;;;;;;;
18.8. ЧИСЛО ПОДКЛЮЧЕННЫХ АБОНЕНТСКИХ УСТРОЙСТВ МОБИЛЬНОЙ СВЯЗИ на 1000 человек населения;;;;;;;;;;;;;;;;;;;;;;;
"(на конец года; штук)";;;;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;;
Красноярский край;6,0;16,0;56,0;186,0;437,0;791,8;978,1;1254,6;1413,9;1413,7;1720,9;1546,7;1646,8;1722,7;1655,4;1707,7;1658,3;1798,9;1748,9;;;;
Иркутская область;6,0;18,0;36,0;103,0;199,0;533,6;877,6;1278,3;1541,0;1546,0;1635,3;1659,7;1761,6;1849,0;1731,4;2051,7;3022,6;1941,9;1902,8;;;;
Кемеровская область;4,0;9,0;35,0;121,0;443,0;858,9;976,5;1130,5;1255,3;1256,8;1426,9;1744,7;1725,1;1687,6;1641,1;1658,4;1772,6;1767,7;1772,0;;;;
Новосибирская область ;15,0;64,0;152,0;277,0;491,0;830,8;1111,4;1260,9;1333,3;1326,9;1286,5;1808,6;1764,4;1744,9;1826,5;1845,9;1772,9;1989,2;1968,1;;;;
Омская область;12,0;22,0;63,0;131,0;358,0;795,9;965,0;1120,5;1260,6;1263,0;1584,3;1701,5;1802,6;1854,6;1858,3;1914,1;1874,3;1942,2;1907,2;;;;
Томская область;10,0;33,0;118,0;292,0;547,0;953,4;1153,5;1237,7;1240,6;1230,2;1212,9;1607,8;1749,3;1692,2;1592,9;1763,2;1788,5;1760,1;1747,4;;;;
Дальневосточный     федеральный округ;7,0;14,0;37,0;91,0;248,0;631,0;863,0;1101,6;1285,9;1288,3;1569,9;1579,6;1644,6;1750,3;1705,5;1716,7;1665,5;1681,4;1623,1;;;;
Республика Бурятия;2,0;6,0;13,0;50,0;99,0;372,3;602,1;959,7;1236,5;1232,5;1343,4;1423,3;1484,5;1528,5;1446,9;1480,0;1470,7;1569,3;1515,0;;;;
Республика Саха (Якутия);4,0;8,0;23,0;61,0;111,0;379,2;519,6;707,6;948,9;948,7;1322,7;1366,2;1430,8;1576,7;1556,9;1587,8;1543,5;1535,5;1453,3;;;;
Забайкальский край;2,0;5,0;9,0;30,0;144,0;404,7;685,3;912,5;1026,1;1026,3;1292,4;1270,0;1368,5;1429,1;1390,8;1421,2;1452,1;1430,7;1380,3;;;;
Камчатский край;13,0;18,0;46,0;103,0;310,0;914,5;1157,9;1327,0;1501,4;1510,7;1746,7;1893,6;1956,4;2089,9;2003,4;1997,0;1974,9;1922,2;1814,2;;;;
Приморский край;11,0;22,0;59,0;124,0;404,0;699,1;990,7;1325,8;1545,3;1548,8;1920,5;1681,6;1774,8;1862,5;1832,3;1827,0;1737,3;1797,3;1749,4;;;;
Хабаровский край;13,0;29,0;84,0;209,0;480,0;902,5;1092,1;1241,1;1365,1;1367,0;1673,4;1788,1;1840,2;1911,6;1842,4;1846,4;1771,4;1775,3;1721,1;;;;
Амурская область;3,0;5,0;8,0;22,0;71,0;856,2;1056,6;1223,2;1335,5;1341,8;1564,3;1719,0;1714,6;1773,2;1730,1;1702,0;1671,5;1609,3;1578,1;;;;
Магаданская область;...;...;8,0;17,0;68,0;551,2;888,2;1113,8;1387,9;1404,8;1708,6;1895,2;2008,1;2316,7;2262,8;2337,0;1958,7;1851,5;1783,2;;;;
Сахалинская область;8,0;17,0;29,0;83,0;160,0;728,0;1013,9;1167,2;1355,2;1365,0;1450,2;1565,9;1603,0;1990,2;2004,2;2022,5;1958,2;2006,8;1904,2;;;;
Еврейская автономная область;1,0;2,0;3,0;3,0;110,0;300,0;381,5;605,7;760,3;763,0;1285,9;1443,7;1433,7;1608,3;1538,1;1570,9;1486,5;1496,7;1449,5;;;;
Чукотский автономный округ;...;...;...;...;...;20,9;18,2;518,2;729,3;742,9;1084,0;1270,2;1455,9;1604,5;1592,0;1674,9;1701,5;1701,8;1678,5;;;;
?????;;;;;;;;;;;;;;;;;;;;;;;
1)  С 2000 г. - включая данные по Московской области.;;;;;;;;;;;;;;;;;;;;;;;
2) С 2000 г. - включая данные по Ленинградской области.;;;;;;;;;;;;;;;;;;;;;;;
3) По месту регистрации юридического лица. ;;;;;;;;;;;;;;;;;;;;;;;
