Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;
10. ОСНОВНЫЕ ФОНДЫ;;;;;;;;;;;;;;;;;;;;;
10.1. СТОИМОСТЬ ОСНОВНЫХ ФОНДОВ1) ;;;;;;;;;;;;;;;;;;;;;
"(на конец года; по полной учетной стоимости; миллионов рублей)";;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;
Пензенская область;135183;148470;180559;228396;243758;262655;315061;377811;446113;533261;579673;613333;669188;719888;864334;970828;930071;986237;1092727;;
Самарская область;513679;584694;729525;886148;966882;1056262;1154449;1333971;1528511;1652795;1775376;2005380;2173528;2342741;2522834;2735586;3012202;3258454;3479558;;
Саратовская область;292971;330279;458337;520351;532388;556180;630917;764456;907459;991128;1108845;1215058;1319466;1456217;1402337;1551306;1779849;1869085;2007804;;
Ульяновская область;134398;162798;173256;200197;212287;234805;260362;308080;352257;430413;469472;525557;571931;616325;608107;675549;727958;776024;853001;;
Уральский     федеральный округ;2495342;3844891;5069686;5812297;6267153;7935967;9209054;10955498;13269958;14526823;16840119;19435141;22295386;23584469;26776921;28902312;33650787;35953434;38726232;;
Курганская область;105205;103644;146404;177444;186289;213335;242086;325899;368000;416057;474482;521738;574249;617452;619830;650878;693563;725992;757646;;
Свердловская область;607927;713797;954194;1105279;1142985;1424665;1509597;1746705;2063335;2247358;2561776;3285624;3665843;3949207;4711894;5157421;6086869;6177853;6448390;;
Тюменская область;1350459;2575384;3416427;3780191;4125299;5405244;6462995;7581168;9357677;10315779;12115952;13758304;16041010;16856805;19036884;20471314;23947925;26000867;28282720;;
в том числе:;;;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный     округ – Югра;865096;1300411;1765170;1969088;2203663;2903606;3346899;4007371;4852290;5423503;6382571;6888515;7953296;8618035;9546182;10275523;11654167;12543037;13262283;;
Ямало-Ненецкий автономный округ;298875;847866;1276960;1411989;1561226;2088400;2491843;2797387;3742708;4002082;4699979;5687176;6737214;6693967;7827582;8387662;10219150;11279844;12640917;;
Тюменская область без автономных округов;;;;;;;;;762679;890194;1033402;1182613;1350500;1544803;1663120;1808129;2074608;2177986;2379520;;
Челябинская область;431751;452066;552661;749383;812580;892723;994376;1301726;1480946;1547629;1687909;1869475;2014284;2161005;2408313;2622699;2922430;3048722;3237476;;
Сибирский        федеральный округ2) ;2310955;2655055;3215231;3751440;3988065;4458879;5021477;6212843;7183950;8288137;9071296;10256100;11466528;12328640;13145544;14259887;15338111;16548844;16181083;;
Республика Алтай;15372;17028;17748;19576;20385;22026;26506;36386;40300;44595;49786;61628;68340;86493;99868;114087;127913;131791;142235;;
Республика Тыва;15831;16172;15984;18232;18680;19490;22158;27975;31718;36141;39154;47409;57136;64172;72925;82829;91880;99573;114199;;
Республика Хакасия;64529;73578;87598;107799;117068;120518;141252;186212;225192;230085;246369;292915;315069;341282;378082;404095;417845;438167;469018;;
Алтайский край;203441;228746;256888;320439;359417;382472;445470;545300;615342;670720;712242;757632;797922;870401;907409;931166;871625;935963;986820;;
Красноярский край;406756;472316;585508;693145;750452;823467;927280;1099859;1261951;1472018;1628414;1815754;2070838;2335977;2537118;2879635;3227379;3604524;3949492;;
Иркутская область;366685;423047;517510;576236;563456;651069;674969;826755;1056433;1472728;1641443;1975486;2171210;2077218;2029855;2206258;2528848;2774291;3033414;;
Кемеровская область;332002;363666;425676;486882;530233;629492;745812;924027;1058631;1152849;1259707;1406912;1635052;1900837;2106244;2250263;2404891;2545178;2738986;;
Новосибирская область;320944;346811;440046;511803;545077;595609;682585;820667;939236;1055081;1172183;1229181;1361156;1481011;1656477;1869453;1944305;2091267;2259167;;
Омская область;191993;213976;261674;310513;326879;357195;402762;503481;552613;599347;652835;725451;827996;909004;961850;985731;1018884;1087256;1131964;;
Томская область;161121;189350;213667;267859;295327;319795;361563;489096;545898;619506;673404;863117;980603;987240;1048117;1119720;1171769;1253735;1355788;;
Дальневосточный федеральный округ2) ;1144282;1338014;1482381;1849684;1991989;2214245;2485870;2979000;3424690;4290077;4675943;6080300;7787282;8359973;9187563;10631373;11636934;12404342;14995431;;
Республика Бурятия;107029;138679;166665;188615;200509;221056;206590;299067;343681;375160;402856;430210;485596;521445;557500;565871;609133;642667;743113;;
Республика Саха (Якутия);227793;244550;280473;357706;389591;450823;506544;590058;657603;733665;776760;921586;1194724;1336424;1520532;1758532;2025084;2208092;2443951;;
Забайкальский край;125252;171686;226267;250341;260582;316690;384530;454018;512955;559907;592903;650405;695610;753560;790099;850779;923639;944432;989829;;
Камчатский край;63975;65244;72382;85851;94084;100939;113962;158848;169981;180548;194506;242183;267001;296821;321916;359528;500594;540786;534999;;
Приморский край;180681;231358;294027;407011;446027;457446;476660;581679;634614;799882;912847;1695166;2676321;2612167;2481077;2739943;3125796;3346264;3424996;;
Хабаровский край;309666;379711;332389;371876;395949;437286;489476;596954;670723;752349;809105;1041749;1203168;1353020;1358317;1458497;1589042;1623543;1722484;;
Амурская область;165136;203808;254061;325363;339012;384833;411171;473453;493989;530204;562364;623125;759529;816040;830450;863641;1009163;1072521;1168547;;
Магаданская область;48680;54817;68306;78048;86131;93758;100547;115027;122805;136348;144914;150356;174595;230924;226512;240208;258861;280970;347962;;
Сахалинская область;106273;114955;130229;164880;174132;207065;287633;332989;522887;996746;1091696;1208172;1263901;1440706;2153134;2895401;2762977;2909469;3170137;;
Еврейская автономная область;23185;29938;36365;42653;45180;52480;72817;96110;104532;97291;107363;116967;158568;162408;184022;199084;224027;252341;259059;;
Чукотский автономный округ;18893;13633;14149;16296;21883;29615;27060;33882;47556;63044;76388;80996;89475;111463;111603;116539;141390;170356;190354;;
?????;;;;;;;;;;;;;;;;;;;;;
1) С учетом проводившихся переоценок.;;;;;;;;;;;;;;;;;;;;;
2) Данные за 2000 – 2017 гг. по Сибирскому и Дальневосточному федеральным округам приведены в составе субъектов Российской Федерации до вступления в силу Указа Президента Российской Федерации от 3 ноября 2018 г. № 632.;;;;;;;;;;;;;;;;;;;;;
