Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;
9. ВАЛОВОЙ РЕГИОНАЛЬНЫЙ ПРОДУКТ;;;;;;;;;;;;;;;;;;;;;
9.5. ФАКТИЧЕСКОЕ КОНЕЧНОЕ ПОТРЕБЛЕНИЕ ДОМАШНИХ ХОЗЯЙСТВ на душу населения НА ТЕРРИТОРИИ СУБЪЕКТОВ РОССИЙСКОЙ ФЕДЕРАЦИИ;;;;;;;;;;;;;;;;;;;;;
"(в текущих рыночных ценах; рублей)";;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;;;
Нижегородская область;17922,3;23947,4;31707,7;38938,7;49245,3;62395,3;79504,0;102852,3;136737,3;140534,7;158959,6;189958,7;218727,9;244891,9;275080,9;280949,3;290157,2;309763,9;;;
Оренбургская область;15462,5;19291,6;23314,6;27412,4;35774,4;49402,1;61248,3;78629,3;104772,5;117728,1;132127,0;154807,9;174271,5;195638,1;217246,2;221709,5;224564,7;237264,7;;;
Пензенская область;13933,2;18360,2;23874,7;27879,3;35934,3;45368,4;56017,2;81192,2;102887,3;113021,9;127269,3;151199,7;164711,8;186357,1;203311,4;218024,8;222021,6;232839,1;;;
Самарская область;35407,9;43404,6;57538,9;65528,8;81601,2;101945,0;122608,9;147378,7;178721,4;182392,2;191966,9;216074,6;230745,4;255742,3;281773,1;275786,0;281063,9;287448,3;;;
Саратовская область;16997,7;22013,9;28359,5;33172,7;42551,8;53733,2;65592,6;82140,3;102682,4;106596,9;117460,4;137792,3;155470,6;172879,2;184987,6;194903,4;197649,5;206505,6;;;
Ульяновская область;15640,1;21003,7;26687,1;34130,5;41071,0;51141,6;68182,4;85148,8;102361,7;108025,3;125126,2;142858,8;162541,1;181954,7;198712,3;206547,5;210478,1;222130,6;;;
Уральский     федеральный округ;23845,2;32449,3;42381,7;52668,0;67407,2;88317,3;116643,9;148950,1;189652,0;189980,1;203281,6;239311,2;265237,5;293572,5;308329,9;319414,0;322018,8;334554,2;;;
Курганская область;13243,0;18740,5;26795,3;31766,3;42327,2;52051,5;70149,7;92760,9;121935,1;133637,5;128431,8;146020,4;162908,8;178348,8;186527,6;197045,5;201395,5;208270,2;;;
Свердловская область;21843,1;30202,3;39489,0;49425,0;64345,0;84492,6;109521,5;141944,9;180901,3;188930,6;217589,4;259733,4;288482,3;322132,0;337979,9;356128,0;365404,9;375867,7;;;
Тюменская область;36302,9;49396,9;63282,4;78552,1;99076,2;127509,3;167903,0;212804,6;264215,5;248315,5;248318,8;291436,9;322985,6;358304,5;374361,4;387763,1;389981,8;411234,6;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный   округ – Югра;…;…;…;92431,5;116492,3;149328,7;197332,5;250505,4;305957,4;278362,9;269373,0;306719,5;334878,9;370632,2;385040,0;394920,6;396333,0;421467,2;;;
Ямало-Ненецкий автономный округ;…;…;…;100960,2;128939,4;168835,1;216365,5;268510,3;327784,3;309714,5;310964,9;372069,4;403066,1;434877,8;449626,5;471011,8;459880,9;492041,0;;;
Тюменская область без автономных округов;;;;;;;;;;;;242287,8;277931,3;314640,5;333662,1;348718,7;357385,6;370715,0;;;
Челябинская область;18398,3;24043,0;31523,3;38917,5;48934,5;66493,5;89873,2;112083,5;147098,3;149832,6;161329,0;186813,6;204852,1;221842,3;234727,9;233320,7;227321,2;233529,8;;;
Сибирский   федеральный округ;20461,8;27337,7;36730,6;44864,1;55264,6;69650,9;87778,9;108261,7;133815,8;135217,0;147795,1;172681,8;195179,5;213306,6;223571,0;230684,9;236087,7;245583,4;;;
Республика Алтай;12371,2;18432,6;24042,7;31769,9;40318,1;49009,6;62996,5;76933,3;103273,3;112044,4;120234,6;138334,8;146821,9;171716,3;185370,0;194517,5;195679,9;202994,9;;;
Республика Бурятия;18011,6;23799,0;31731,6;39739,4;49204,2;63063,6;75444,6;94767,8;115466,1;126216,0;139336,2;166274,7;191549,2;214451,2;226189,7;256005,4;258531,2;262990,1;;;
Республика Тыва;10908,0;17056,1;22114,5;26629,1;33938,4;42161,0;52581,7;63307,4;77266,3;81214,3;88176,7;98876,8;107416,3;114506,8;128130,4;139145,5;144398,5;148284,1;;;
Республика Хакасия;17173,9;21797,4;28309,4;33339,0;39400,0;46834,6;60653,9;76127,3;89900,7;94449,3;116254,2;146077,7;172567,6;188460,0;202866,0;223943,6;229685,4;240178,4;;;
Алтайский край;15751,1;21539,7;28855,5;35772,7;44268,9;54776,4;70451,6;86759,3;109555,2;108427,2;119552,6;143622,1;165012,9;180652,6;196411,6;207389,3;212428,9;218973,2;;;
Забайкальский край;14063,4;19133,0;32213,3;41044,6;8664,4;60418,8;73426,9;89980,9;116035,9;126565,7;140454,0;166300,5;185348,3;198789,6;213307,6;228237,1;239745,9;249907,0;;;
Красноярский край;28411,2;35940,5;45949,3;54406,4;167593,2;78279,6;98845,7;127141,3;159827,7;164230,3;180098,8;205416,6;238457,5;259678,3;270374,0;271772,1;284377,2;289471,1;;;
Иркутская область;23939,9;30564,1;37561,6;44596,7;54634,8;68095,4;86374,5;104068,5;127229,2;128890,9;136382,9;154960,3;173605,5;187803,9;199133,1;201905,4;212245,5;226437,0;;;
Кемеровская область;19531,7;27266,3;37438,0;45627,0;57993,9;74172,3;94804,6;119277,3;145107,3;131522,0;143554,6;164726,6;185449,5;198219,2;198298,2;205103,5;205366,5;213737,5;;;
Новосибирская область;23071,5;31006,0;43091,5;53662,5;63715,1;84806,7;106614,9;127208,1;158426,2;161877,1;178623,6;213965,6;236033,4;257349,5;265662,8;266625,2;270625,5;281880,3;;;
Омская область;15943,6;23369,0;32378,7;40139,7;51150,2;66535,2;83987,9;105034,3;128077,9;134102,4;146795,7;177127,5;198527,3;221793,8;236652,8;235874,6;231150,8;246363,0;;;
Томская область;21459,0;28154,8;39301,0;48633,1;63197,7;80638,8;98607,5;113857,2;134740,8;136650,2;141604,7;153981,6;171917,0;194606,9;200966,5;217367,1;224562,0;234076,9;;;
Дальневосточный федеральный округ;24911,6;34334,4;45128,5;55720,5;68705,2;86601,7;108522,9;129724,1;158048,8;178625,1;197760,2;224573,4;249743,9;281664,8;308886,2;336036,5;350178,5;370371,1;;;
Республика Саха (Якутия);35835,1;50120,9;63921,9;82589,7;96977,3;113445,4;139265,2;161175,2;191265,1;211116,7;229733,2;254182,5;279348,9;314186,9;348664,7;379690,6;396815,5;421785,3;;;
Камчатский край;35819,2;43803,6;55059,1;62131,6;28527,4;93286,0;125274,4;157641,2;183023,3;209268,4;235815,7;268423,0;287221,6;310374,0;332861,9;355273,1;374506,0;395185,5;;;
Приморский край;19098,0;27288,4;35957,1;43962,2;325551,8;72694,5;90683,0;107550,9;131796,3;145467,9;158330,1;179329,5;204890,7;232679,3;255561,4;284239,7;291318,6;310776,0;;;
Хабаровский край;26229,0;36187,2;47904,3;58254,8;49891,9;92308,0;113622,7;137689,1;164142,8;189705,8;213112,3;238112,2;262832,6;296151,2;325397,7;355582,0;379510,7;396671,4;;;
Амурская область;20965,3;25983,5;33058,9;39258,2;31617,8;63172,9;77401,9;92481,7;114438,5;127980,5;146667,3;181860,5;214215,1;251424,7;271940,0;281198,2;291948,7;303027,6;;;
Магаданская область;30330,4;40371,6;54289,1;66405,4;76931,5;93906,7;118166,3;125847,1;173446,1;209762,4;229756,0;268700,2;316459,7;362506,6;390570,3;413510,4;431265,7;460054,8;;;
Сахалинская область;24706,2;36564,7;50052,2;66020,6;84268,6;108885,5;148856,8;187424,5;239232,9;277401,5;305303,9;346824,6;362641,4;402123,6;441595,8;485544,6;495822,5;526869,0;;;
Еврейская автономная область;16178,3;23304,9;33532,4;41337,4;53994,6;68993,6;82137,7;96612,8;117193,5;134462,0;152941,4;165910,3;179689,2;194524,9;210246,3;235583,3;239786,4;245716,2;;;
Чукотский автономный округ;30698,8;52117,1;89070,0;108332,6;123238,6;141512,3;158054,9;176416,8;232166,8;270927,5;304087,6;338089,5;343318,0;351422,2;406616,3;390408,1;429408,6;505100,8;;;
