Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;;;;;;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;;;;;;;;;;;;;;;;
ОСНОВНЫЕ ПОКАЗАТЕЛИ СЕЛЬСКОГО ХОЗЯЙСТВА;;;;;;;;;;;;;;;;;;;;
"14.3. ОСНОВНЫЕ ФИНАНСОВЫЕ ПОКАЗАТЕЛИ ОРГАНИЗАЦИЙ, ОСУЩЕСТВЛЯЮЩИХ ДЕЯТЕЛЬНОСТЬ В РАСТЕНИЕВОДСТВЕ И ЖИВОТНОВОДСТВЕ1);2)";;;;;;;;;;;;;;;;;;;;
14.3.4. Рентабельность проданных товаров, продукции (работ, услуг) организаций. Животноводство;;;;;;;;;;;;;;;;;;;;
(процентов);;;;;;;;;;;;;;;;;;;;
;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;;;;
Алтайский край;7,7;7,8;14,2;12,6;10,3;16,9;12,6;11,3;2,2;12,1;10,2;10,5;11,8;8,8;;;;;;
Красноярский край;21,8;18,9;16,5;11,3;8,4;10,4;11,0;5,8;4,4;7,3;8,1;10,7;5,4;6,4;;;;;;
Иркутская область;21,7;17,7;13,1;11,6;16,3;16,1;13,7;15,8;12,2;14,4;13,3;10,7;11,7;8,5;;;;;;
Кемеровская область;4,1;1,1;1,9;0,4;3,9;3,2;3,6;3,4;-1,8;7,9;7,2;3,8;2,2;1,0;;;;;;
Новосибирская область ;7,1;8,9;15,5;15,6;14,5;13,9;14,5;13,0;10,6;18,2;18,4;14,9;13,4;10,7;;;;;;
Омская область;15,4;17,4;13,9;12,4;11,5;16,3;12,4;12,3;1,9;23,2;16,9;8,3;13,0;12,6;;;;;;
Томская область;15,6;12,3;12,8;12,6;15,5;16,5;20,8;21,9;5,1;16,7;11,6;4,0;7,7;14,7;;;;;;
Дальневосточный федеральный округ;14,4;-14,2;-11,2;-9,3;-4,0;-3,4;-8,3;-7,0;-10,8;-2,4;-4,4;-10,6;-13,7;-10,8;;;;;;
Республика Бурятия;0,8;3,4;-2,6;-0,9;1,7;10,0;5,7;-6,6;-6,1;29,4;21,7;12,3;9,8;16,4;;;;;;
Республика Саха (Якутия);-52,5;-49,0;-46,4;-43,5;-40,4;-32,6;-31,0;-32,0;-34,3;-36,0;-33,5;-36,4;-26,4;-31,0;;;;;;
Забайкальский край;-14,0;-16,4;-21,6;-19,8;-16,3;-17,0;-17,0;-15,4;-12,0;-9,6;-16,3;-24,8;-7,6;-11,6;;;;;;
Камчатский край;-7,8;-6,4;-13,8;-14,7;-13,6;-2,2;-9,2;-9,4;-20,9;-6,3;-9,6;-14,1;-7,1;-18,5;;;;;;
Приморский край;17,5;10,7;19,2;12,8;16,1;12,4;9,8;8,1;-1,6;2,9;-12,4;-17,9;-19,9;-10,9;;;;;;
Хабаровский край ;-15,8;-15,4;-14,2;-9,8;-6,3;-7,6;-9,8;-10,1;-17,2;-9,1;-4,7;-8,5;-12,7;-18,2;;;;;;
Амурская область;-2,1;-2,2;3,2;5,1;14,3;15,7;6,6;5,2;9,0;13,2;21,9;7,8;1,5;8,0;;;;;;
Магаданская область;-37,3;-36,6;-28,2;-41,1;-32,5;-23,6;-39,4;-41,6;-47,5;-15,3;-35,9;-4,5;-10,0;-13,0;;;;;;
Сахалинская область;-7,1;-2,8;-5,6;-8,1;-0,2;-5,5;-10,8;-13,1;-20,2;-18,6;-23,3;-24,9;-28,9;-30,0;;;;;;
Еврейская автономная область;-26,3;-28,6;-21,7;-34,0;-41,0;-62,3;1,1;4,4;2,5;-;-100;-;-77,9;-100,0;;;;;;
Чукотский автономный округ;-27,8;-33,1;-46,0;-44,3;-43,8;-43,7;-45,3;-48,5;-41,7;-48,3;-43,4;-45,6;-50,8;-41,3;;;;;;
__________;;;;;;;;;;;;;;;;;;;;
1) По данным бухгалтерской отчетности. Знак (-) означает убыток.;;;;;;;;;;;;;;;;;;;;
"2) Данные с 2017 г. приведены в соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2014 (КДЕС Ред. 2) ОКВЭД2; данные за 2005-2016 гг. - в соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2007 (КДЕС Ред. 1.1) ОКВЭД-2007. ";;;;;;;;;;;;;;;;;;;;
