СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2017 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;
10. СИСТЕМА НАЦИОНАЛЬНЫХ СЧЕТОВ*);;;;;;;;;;;;;;;;;;;;;;;;;;;;
Показатели национальных счетов;;;;;;;;;;;;;;;;;;;;;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
домашних хозяйств;565,6;6208,2;68019,6;267112,6;719793,5;1007827,0;1235213,7;1462284,0;2526167,9;3295237,3;4318121,1;5409157,7;6537401,5;8438484,1;10652857,8;12974743,4;16031739,8;19966954,7;20985936,1;23617623,3;29939463,5;34492361,7;38465140,8;42015788,5;43336513,3;44965025,2;47871650,4;
государственного управления;230,9;2633,7;29758,2;136682,2;272501,5;391381,3;493573,5;492620,6;703209,1;1102497,1;1469957,6;1942441,8;2366368,7;2889814,5;3645918,5;4680409,7;5750964,1;7359844,2;8066692,6;8671323,7;10527421,8;12155971,7;13551946,1;14207045,1;14794804,3;15751043,5;16548928,2;
некоммерческих организаций, обслуживающих домашние хозяйства;58,9;341,7;8977,6;18257,9;24299,3;36661,5;47350,4;48885,5;56301,1;79116,5;98781,9;132516,0;154917,4;149551,0;139372,9;154587,6;185875,6;216712,5;216996,4;225726,2;225332,4;247446,7;257196,7;287861,5;314057,5;344189,7;342196,3;
Валовое сбережение;543,1;10024,0;63396,8;183142,5;396808,8;543487,0;513834,6;508092,9;1361716,2;2641627,8;2909152,2;3128555,5;3736114,6;5161445,1;6603003,9;8269986,9;10406986,9;12452186,1;8187536,0;12206107,8;17659253,5;18970265,8;18014913,0;19800570,0;22421001,9;22397634,6;24437537,8;
"Счет операций с капиталом (в текущих ценах; миллионов рублей)";;;;;;;;;;;;;;;;;;;;;;;;;;;;
Изменение в обязательствах и чистой стоимости капитала;543,1;10024,0;64212,9;185233,1;393045,8;540887,0;509254,5;502764,1;1350845,6;2941724,2;2635402,9;2736667,9;3706130,4;5115775,5;6238002,2;8272404,2;10145310,0;12459546,5;7810735,4;12201635,6;17655062,8;18824487,2;18006712,6;17948826,0;22405610,7;22346530,2;24426438,4;
Валовое сбережение;543,1;10024,0;63396,8;183142,5;396808,8;543487,0;513834,6;508092,9;1361716,2;2641627,8;2909152,2;3128555,5;3736114,6;5161445,1;6603003,9;8269986,9;10406986,9;12452186,1;8187536,0;12206107,8;17659253,5;18970265,8;18014913,0;19800570,0;22421001,9;22397634,6;24437537,8;
"Капитальные трансферты, полученные от ""остального мира""";;;816,1;9717,9;6368,9;9429,9;6919,4;8844,8;11911,3;318705,9;58174,3;230447,0;14827,7;20448,6;12256,3;19982,9;22262,3;25424,5;35000,4;19977,5;4878,8;11237,0;12378,9;16942,4;18501,4;65467,8;24756,4;
"Капитальные трансферты, переданные ""остальному миру"" (-)";;;;7627,3;10131,9;12029,9;11499,5;14173,6;22781,9;18609,5;331923,6;622334,6;44811,9;66118,2;377258,0;17565,6;283939,2;18064,1;411801,0;24449,7;9069,5;157015,6;20579,3;1868686,4;33892,6;116572,2;35855,8;
Изменение в активах;543,1;10024,0;64212,9;185233,1;393045,8;540887,0;509254,5;502764,1;1350845,6;2941724,2;2635402,9;2736667,9;3706130,4;5115775,5;6238002,2;8272404,2;10145310,0;12459546,5;7810735,4;12201635,6;17655062,8;18824487,2;18006712,6;17948826,0;22405610,7;22346530,2;24426438,4;
Валовое накопление основного капитала2);325,4;4550,7;34964,9;133208,7;301117,4;401613,9;428522,1;424656,5;693958,5;1232043,1;1689315,0;1939314,4;2432252,0;3130523,6;3836895,9;4980573,3;6980359,1;9200768,9;8535671,5;10014340,1;12952976,5;14689247,0;15925615,2;16828063,2;16941946,2;18402686,3;19966589,9;
Изменение запасов материальных оборотных средств;181,8;2031,4;11352,0;22762,7;62244,6;73642,5;86279,2;-31174,3;21361,0;133690,7;273795,4;229999,3;322796,5;428427,8;501834,6;718154,0;1053739,1;1325347,2;-1190915,0;458289,9;1782910,9;2040955,4;990246,9;786501,1;1299237,2;1269076,7;1995641,3;
Приобретение за вычетом выбытия непроизведенных нефинансовых активов;;;;;;;;;;;;;;;;;;5773,8;7232,4;-;-1195,2;12549,9;4606,3;10304,9;2841,4;934,4;2270,5;
Чистое кредитование (+), чистое заимствование (-) и статистическое расхождение;35,9;3441,9;17896,0;29261,7;29683,8;65630,6;-5546,8;109281,9;635526,1;1575990,4;672292,5;567354,2;951081,9;1556824,1;1899271,7;2573676,9;2111211,8;1927656,6;458746,5;1729005,6;2920370,6;2081734,9;1086244,2;323956,8;4161585,9;2673832,8;2461936,7;
В соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2007 (Кдес Ред.1.1) ОКВЭД;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Выпуск товаров и услуг по видам экономической деятельности (в текущих ценах; миллионов рублей)";;;;;;;;;;;;18990498,6;23273089,5;29490622,6;37020602,0;46223866,5;57752132,5;71601657,9;68116448,0;82054614,9;100960390,7;113092172,5;123165485,1;133110237,9;146356047,9;154577983,2;;
Сельское хозяйство, охота и лесное хозяйство;;;;;;;;;;;;1128100,8;1283388,3;1485181,3;1611613,2;1856108,4;2253721,9;2819575,5;2892506,0;3023199,4;3769460,4;3941217,5;4261559,7;4975414,9;5983915,969;6386910,283;;
Рыболовство, рыбоводство;;;;;;;;;;;;65554,9;107512,3;110807,7;122084,8;133058,5;141114,3;151476,9;179548,5;188455,1;204357,6;227380,4;242914,3;273931,7;364587,9531;395879,1516;;
Добыча полезных ископаемых;;;;;;;;;;;;1347497,7;1609675,5;2304007,7;3200085,4;3641572,7;4239161,9;4972892,2;4748097,1;5982248,1;7361122,5;8352856,1;8967958,6;9559568,5;10978716,25;11395783,97;;
Обрабатывающие производства;;;;;;;;;;;;4974605,6;6300015,7;8225397,5;10610913,8;13122939,6;16531565,9;20190378,6;16869216,9;21067729,9;25097057,5;27866721,4;29881736,9;32703709,0;36772740,82;38342486,09;;
