в процентах к предыдущему году",,84,86.3,78.4,95.4,92.4,101.0,95.2,108.9,108.7,102.9,103.1,108.9,108.0,105.1,106.3,106.8,100.6,89.3,107.3,105.0,103.4,100.4,102.5,100.2,101.8,103.7,103.5,103.4,97.9,106.3,100.7,104.3,105.6,,,,,,,,,
"Индексы производства по видам экономической деятельности разделов2) 
(в процентах к предыдущему году)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2007 (Кдес Ред.1.1) ОКВЭД,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Уголь каменный и бурый,,,,,,,,,,,,,,,,,,,,,,,,,,,84,87,83,78,82,80,76,77,,,,,,,,,
Концентрат железорудный,,,,,,,,,,,,,,,,,,,,,,,,,,,90,90,92,93,93,92,88,86,,,,,,,,,
Пески природные,,,,,,,,,,,,,,,,,,,,,,,,,,,53,53,51,53,57,53,54,52,,,,,,,,,
"Гранулы каменные, крошка и порошок",,,,,,,,,,,,,,,,,,,,,,,,,,,48,47,50,59,62,61,54,62,,,,,,,,,
Галька,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0.3,19,5,1,1,1,,,,,,,,,
Гравий,,,,,,,,,,,,,,,,,,,,,,,,,,,29,22,18,22,29,38,46,40,,,,,,,,,
Щебень,,,,,,,,,,,,,,,,,,,,,,,,,,,66,65,64,63,64,63,67,63,,,,,,,,,
Камень природный дробленный,,,,,,,,,,,,,,,,,,,,,,,,,,,56,55,48,46,49,52,56,53,,,,,,,,,
"Мясо крупного рогатого скота, свинина, баранина, козлятина, конина 
и мясо прочих животных семейства лошадиных, оленина и мясо прочих животных семейства оленьих (оленевых) парные, остывшие или охлажденные ",,,,,,,,,,,,,,,,,,,,,,,,,,,66,69,71,73,75,76,75,74,,,,,,,,,
Мясо и субпродукты пищевые домашней птицы,,,,,,,,,,,,,,,,,,,,,,,,,,,76,74,77,68,72,77,78,77,,,,,,,,,
"Изделия колбасные, включая изделия колбасные для детского питания ",,,,,,,,,,,,,,,,,,,,,,,,,,,57,55,54,53,55,51,55,58,,,,,,,,,
"Консервы мясные (мясосодержащие), включая консервы для детского питания  ",,,,,,,,,,,,,,,,,,,,,,,,,,,56,50,55,26,36,43,58,57,,,,,,,,,
Плодоовощные консервы,,,,,,,,,,,,,,,,,,,,,,,,,,,47,48,46,50,52,54,56,58,,,,,,,,,
Масла растительные и их фракции нерафинированные,,,,,,,,,,,,,,,,,,,,,,,,,,,59,63,67,81,72,74,75,71,,,,,,,,,
"Молоко, кроме сырого ",,,,,,,,,,,,,,,,,,,,,,,,,,,50,51,51,54,54,55,54,57,,,,,,,,,
Масло сливочное и пасты масляные,,,,,,,,,,,,,,,,,,,,,,,,,,,38,36,38,36,38,45,38,39,,,,,,,,,
Сыры,,,,,,,,,,,,,,,,,,,,,,,,,,,48,46,55,51,55,55,57,54,,,,,,,,,
"Молоко и сливки, сгущенные или с добавками сахара или других подслащивающих веществ, не сухие6)",,,,,,,,,,,,,,,,,,,,,,,,,,,68,68,57,56,51,55,49,52,,,,,,,,,
"Мука из зерновых культур, овощных 
и других растительных культур; смеси из них",,,,,,,,,,,,,,,,,,,,,,,,,,,52,52,57,56,55,58,59,61,,,,,,,,,
Крупа ,,,,,,,,,,,,,,,,,,,,,,,,,,,37,38,37,38,43,47,48,49,,,,,,,,,
Изделия хлебобулочные недлительного хранения ,,,,,,,,,,,,,,,,,,,,,,,,,,,42,42,42,44,43,43,45,41,,,,,,,,,
"Сахар белый свекловичный в твердом состоянии без вкусоароматических 
или красящих добавок",,,,,,,,,,,,,,,,,,,,,,,,,,,95,90,94,89,90,93,90,87,,,,,,,,,
Кондитерские изделия,,,,,,,,,,,,,,,,,,,,,,,,,,,61,63,65,63,64,64,66,68,,,,,,,,,
