,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2024 гг.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ПОКАЗАТЕЛИ ,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,,,,,,,,,,,,
11. ИНВЕСТИЦИИ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Инвестиции в нефинансовые активы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Структура инвестиций в нефинансовые активы1);2), в процентах к итогу",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10) Разработка данных по видам экономической деятельности осуществляется начиная с 2003 г., за 1994-2002 гг. представлены данные, полученные в результате пересчета динамических рядов по отраслям экономики с использованием переходных ключей между классификаторами отраслей народного хозяйства (ОКОНХ) и видов экономической деятельности (ОКВЭД).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11) Динамические ряды ведутся с 2005 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Финансовые вложения1);2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Финансовые вложения, млн руб.",,,,,,,,"183,944","775,214","1,245,017","2,429,764","2,091,285","3,390,515","4,867,610","9,209,175","14,394,996","18,779,439","26,402,422","22,744,981","41,274,859","66,634,032","67,724,781","72,888,499","78,604,356","127,113,606","136,718,873","165,669,181","246,503,384","247,228,909","306,081,363","390,942,540","439,004,302","557,410,700","687,076,935",,,,,,,,,,,,,
"Долгосрочные финансовые вложения,            млн руб.",,,,,,,,"67,065","298,734","283,623","470,232","425,710","978,255","853,545","1,848,851","2,278,223","4,431,508","4,545,368","4,863,344","4,897,295","7,163,387","7,012,963","9,446,897","9,805,417","13,804,111","15,517,216","18,586,505","32,636,074","22,570,871","32,544,095","49,953,906","25,111,203","36,801,638","47,005,649",,,,,,,,,,,,,
"Краткосрочные финансовые вложения, млн руб.",,,,,,,,"116,879","476,480","961,394","1,959,532","1,665,575","2,412,260","4,014,065","7,360,324","12,116,773","14,347,931","21,857,054","17,881,637","36,377,564","59,470,645","60,711,818","63,441,602","68,798,939","113,309,495","121,201,657","147,082,676","213,867,310","224,658,038","273,537,268","340,988,634","413,893,099","520,609,062","640,071,286",,,,,,,,,,,,,
"1) Без организаций, относящихся к субъектам малого предпринимательства.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) Данные за 2014 г. без учета сведений по Республике Крым и г. Севастополю.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
