,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2024 гг.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ПОКАЗАТЕЛИ ,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
текстильное и швейное производство,,,,,,,,,,,,,,,111.7,157.5,153.2,171.1,163.9,198.8,240.5,256.9,298.0,286.5,317.2,370.2,,,,,,,,
"производство кожи, изделий 
из кожи и производство обуви",,,,,,,,,,,,,,,24.0,28.6,34.9,34.5,36.4,43.7,51.4,49.8,51.6,47.3,53.9,63.4,,,,,,,,
"обработка древесины 
и производство изделий 
из дерева",,,,,,,,,,,,,,,146.7,167.0,219.3,240.7,187.7,226.4,281.8,308.6,328.0,378.1,435.4,510.8,,,,,,,,
"целлюлозно-бумажное производство; издательская 
и полиграфическая деятельность",,,,,,,,,,,,,,,292.2,389.8,449.7,589.4,477.0,575.8,724.8,827.7,893.8,960.5,"1,116.2","1,261.2",,,,,,,,
"производство кокса 
и нефтепродуктов",,,,,,,,,,,,,,,"2,409.6","2,413.2","2,107.5","2,725.2","2,748.7","4,036.4","5,607.9","6,260.6","8,648.9","9,564.1","9,287.0","9,177.9",,,,,,,,
химическое производство,,,,,,,,,,,,,,,570.1,712.0,849.2,"1,178.4","1,041.4","1,361.2","1,778.8","1,890.9","2,010.2","2,079.3","2,649.9","2,767.7",,,,,,,,
"производство резиновых 
и пластмассовых изделий",,,,,,,,,,,,,,,183.2,251.5,395.3,424.5,355.8,494.4,647.9,704.3,684.1,685.7,800.8,885.7,,,,,,,,
производство прочих неметаллических минеральных продуктов,,,,,,,,,,,,,,,373.7,551.6,831.5,"1,027.0",703.0,821.0,"1,049.2","1,182.1","1,246.7","1,283.6","1,240.6","1,264.0",,,,,,,,
металлургическое производство и производство готовых металлических изделий,,,,,,,,,,,,,,,"1,868.3","2,445.0","2,955.7","3,410.8","2,410.5","3,352.9","4,079.7","4,047.1","3,965.0","4,582.1","5,337.7","5,489.7",,,,,,,,
в том числе металлургическое производство,,,,,,,,,,,,,,,"1,626.8","2,081.7","2,514.8","2,846.0","1,957.7","2,806.1","3,360.6","3,272.1","3,198.1","3,742.7","4,405.5","4,457.6",,,,,,,,
"производство машин 
и оборудования",,,,,,,,,,,,,,,504.6,607.5,829.8,"1,027.8",840.1,"1,021.3","1,260.6","1,420.7","1,425.0","1,487.3","1,509.0","1,656.0",,,,,,,,
"производство электрооборудования, электронного и оптического оборудования",,,,,,,,,,,,,,,468.1,656.7,822.1,935.7,760.1,982.5,"1,192.5","1,329.2","1,315.4","1,516.4","1,733.7","1,962.8",,,,,,,,
производство транспортных средств и оборудования,,,,,,,,,,,,,,,909.3,"1,112.9","1,467.8","1,718.4","1,243.9","1,710.9","2,379.6","2,839.6","3,168.4","3,037.1","2,949.4","3,348.8",,,,,,,,
в том числе:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"производство автомобилей, прицепов 
и полуприцепов",,,,,,,,,,,,,,,549.7,698.2,952.0,"1,093.4",584.9,947.2,"1,445.0","1,717.5","1,798.6","1,685.4","1,493.7","1,784.8",,,,,,,,
"производство судов, летательных и космических аппаратови прочих транспортных средств",,,,,,,,,,,,,,,359.6,414.6,515.8,625.0,659.0,763.7,934.6,"1,122.0","1,369.8","1,351.7","1,455.7","1,564.1",,,,,,,,
"производство и распределение электроэнергии, газа и воды",,,,,,,,,,,,,,,"1,864.3","2,440.8","3,103.7","3,783.5","4,545.3","5,483.7","6,424.1","6,627.4","7,187.2","7,648.0","8,014.8","8,742.1",,,,,,,,
строительство,,,,,,,,,,,,,,,"1,535.2","2,079.9","2,902.2","3,979.7","3,238.2","3,652.1","4,225.5","4,660.2","4,876.5","4,929.0","4,723.5","6,216.0",,,,,,,,
"оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий 
и предметов личного пользования",,,,,,,,,,,,,,,"14,123.2","19,616.6","26,108.6","32,342.9","28,181.0","33,359.8","41,221.6","47,044.5","43,872.4","51,923.4","56,362.4","56,581.1",,,,,,,,
из них:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
