;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2024 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Целлюлоза древесная;;709;…;…;…;282;355;300;299;324;377;391;439;548;573;413;606;659;515;540;555;506;464;521;704;494;434;642;…;…;…;;;;;;;;;
Бумага газетная;;595;…;…;…;358;398;427;339;348;395;459;507;544;618;481;482;590;532;532;528;401;403;416;562;444;339;440;…;…;…;;;;;;;;;
Чугун передельный;;132;…;…;…;69,8;83,7;91,8;92,5;132;254;264;246;317;489;277;369;475;418;391;388;259;228;338;373;339;312;507;…;…;…;;;;;;;;;
Ферросплавы;;1085;…;…;…;558;628;602;616;627;1 145;1 579;1 492;1 696;2 499;1 613;1 646;2 033;2 101;2 081;2 150;1 708;1 594;1 761;1 680;1 504;1 212;1 648;…;…;…;;;;;;;;;
Медь;;2539;…;…;…;1429;1677;1473;1371;1611;2 632;3 447;6 200;6 638;6 047;4 894;7 216;8 737;7 580;7 324;6 639;5 457;4 703;6 180;6 328;5 891;5 989;8 484;…;…;…;;;;;;;;;
Никель необработанный;;8059;…;…;…;5291;8641;5750;6117;9062;12 609;13 563;22 730;33 855;19 546;14 548;21 790;22 963;16 982;15 236;16 326;11 382;9 167;10 145;12 831;13 712;13 747;17 537;…;…;…;;;;;;;;;
Алюминий необработанный;;1520;…;…;…;1154;1298;1179;1039;1058;1 172;1 316;1 619;2 153;2 164;1 444;1 817;2 036;1 819;1 817;1 824;1 740;1 385;1 620;1 713;1 695;1 567;2 021;…;…;…;;;;;;;;;
Автомобили легковые, за шт.;;3684;…;…;…;3264;3167;3093;3077;3517;4 494;4 819;5 629;6 407;7 134;5 881;6 482;7 815;8 831;10 814;11 555;11 395;16 112;15 690;13 839;14 650;15 222;15 699;…;…;…;;;;;;;;;
Автомобили грузовые, за шт.;;10504;…;…;…;10387;11715;10107;10836;7804;9 684;10 225;12 223;15 653;18 207;25 092;22 430;23 133;27 470;22 542;22 641;22 602;24 674;22 984;24 684;27 238;25 755;26 526;…;…;…;;;;;;;;;
Средние фактические импортные цены на основные товары, долларов США за тонну ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
