;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2024 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
другие субсидии на производство;;;;2 615,8;7 372,6;3 418,2;8 027,7;5 574,1;6 698,2;8 194,6;11 828,5;15 287,6;19 065,7;19 894,4;6 282,6;5 319,0;15 622,1;50 419,4;107 631,3;81 350,1;145 070,5;129 668,5;103 195,5;235 005,2;244 557,8;245 125,8;203 834,8;185 258,8;277 506,8;801 025,4;1 677 275,9;3 863 577,3;4 732 969,4;4 345 829,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Валовая прибыль экономики 
и валовые смешанные доходы";725,6;11 390,5;76 961,7;251 344,4;610 792,0;699 367,0;783 343,7;946 688,4;2 131 511,9;3 119 932,4;3 692 601,4;3 918 190,6;4 864 328,3;6 306 703,7;7 887 139,4;9 544 584,3;11 387 081,6;13 498 666,1;11 921 085,8;15 093 737,7;24 984 268,4;28 086 301,2;29 127 029,6;30 592 603,6;34 074 663,5;34 973 590,8;37 972 555,6;45 255 691,1;49 129 203,9;48 510 878,8;66 288 013,3;81 207 025,7;87 552 821,1;97 404 711,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Счет распределения первичных доходов (в текущих ценах; миллионов рублей)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ресурсы;1 398,50;19 679,1;173 772,0;616 708,4;1 445 305,2;2 026 641,0;2 364 236,9;2 658 220,2;4 910 508,4;7 433 342,2;9 126 673,1;10 991 181,3;13 520 752,2;17 329 843,6;22 017 851,4;27 560 158,8;34 204 936,6;42 354 172,6;39 475 844,3;47 073 765,9;60 973 509,0;69 098 395,0;73 771 066,5;80 271 861,8;84 850 899,2;87 955 653,8;94 190 532,8;106 713 673,5;112 601 490,0;110 559 579,6;140 464 117,8;159 229 545,3;178 668 057,1;202 695 140,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Валовая прибыль экономики 
и валовые смешанные доходы";725,6;11 390,5;76 961,7;251 344,4;610 792,0;699 367,0;783 343,7;946 688,4;2 131 511,9;3 119 932,4;3 692 601,4;3 918 190,6;4 864 328,3;6 306 703,7;7 887 139,4;9 544 584,3;11 387 081,6;13 498 666,1;11 921 085,8;15 093 737,8;24 984 268,4;28 086 301,2;29 127 029,6;30 592 603,6;34 074 663,5;34 973 590,8;37 972 555,6;45 255 691,1;49 129 203,9;48 510 878,8;66 288 013,3;81 207 025,7;87 552 821,1;97 404 711,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Оплата труда наемных работников;610,9;6 979,4;76 346,2;300 749,1;646 489,7;1 020 585,2;1 200 924,4;1 262 279,3;1 939 045,4;2 944 729,8;3 852 184,6;5 071 283,1;6 227 103,0;7 837 582,4;9 439 827,8;11 873 211,0;15 340 209,0;19 204 696,2;20 131 506,2;22 736 866,9;26 105 493,4;29 818 601,6;33 379 545,9;37 057 828,5;39 441 606,2;41 117 231,9;43 764 691,8;46 205 540,3;48 150 478,3;48 627 698,1;54 894 614,9;63 556 292,8;73 187 733,8;87 691 634,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"в том числе сальдо заработной платы, полученной за границей 
и выплаченной в России нерезидентам";;;;-248,5;-1 386,1;-2 058,1;-1 976,1;-767,6;5 439,3;7 499,9;3 786,1;6 182,5;-4 284,9;-7 454,3;-34 438,9;-112 694,6;-185 905,7;-355 064,8;-280 108,2;-258 769,0;-279 560,2;-368 592,0;-420 527,6;-381 133,3;-307 314,6;-120 218,9;-132 844,6;-210 269,5;-232 569,2;-69 005,6;13 311,0;-155 064,0;-408 854,1;-588 098,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Налоги на производство и импорт ;152,0;3 892,9;28 672,8;85 044,1;252 401,3;378 712,0;469 958,6;517 923,0;883 308,1;1 404 111,5;1 585 833,1;2 028 443,0;2 318 223,0;3 079 045,6;4 410 767,1;5 542 275,3;6 564 455,7;8 498 539,1;6 808 387,9;8 494 621,8;9 104 661,6;10 203 663,9;10 408 206,2;11 492 181,7;9 779 980,8;9 928 423,4;10 495 649,7;12 684 481,5;12 876 013,7;11 989 425,5;16 598 249,6;17 241 529,7;21 465 220,8;21 444 478,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Субсидии на производство и импорт                 (-);90,0;3 257,3;10 471,2;26 640,9;82 547,0;92 897,2;113 688,8;98 035,3;125 192,6;155 627,5;183 250,6;181 199,2;205 705,4;203 595,1;162 407,7;155 563,8;230 138,8;280 117,0;333 869,4;275 454,3;359 982,8;373 709,1;349 608,2;493 707,0;516 205,0;523 381,2;522 587,5;494 331,3;779 959,3;1 538 877,0;3 040 099,4;5 218 989,0;6 201 042,7;5 976 829,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Доходы от собственности, полученные от ""остального мира""";;673,6;2 262,5;6 211,7;18 169,2;20 874,0;23 699,0;29 364,8;81 835,6;120 196,0;179 304,6;154 463,8;316 803,3;310 107,0;442 524,8;755 652,0;1 143 329,1;1 432 388,3;948 733,9;1 023 993,7;1 139 068,4;1 363 537,4;1 205 893,0;1 622 955,0;2 070 853,7;2 459 788,9;2 480 223,2;3 062 291,9;3 225 753,4;2 970 454,2;5 723 339,4;2 443 686,1;2 663 324,1;2 131 146,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
